Symbol,TF,Bars,LongSig,ShortSig,trades,win_rate,avg_rr,expectancy,max_dd,pf,final,ret_pct
BTCUSDT,1m,43201,53,52,88,0.307,0.625,-4.41,0.088,0.936,9611.62,-3.88
BTCUSDT,5m,25920,59,59,93,0.376,1.064,22.47,0.066,1.336,12089.49,20.89
BTCUSDT,15m,35040,96,80,132,0.386,0.934,16.86,0.0902,1.256,12250.21,22.5
BTCUSDT,30m,17520,25,53,21,0.19,-0.038,-41.3,0.0994,0.477,9224.88,-7.75
BTCUSDT,1h,17520,22,34,20,0.15,-0.254,-52.91,0.0968,0.339,9032.19,-9.68
BTCUSDT,4h,4380,12,9,18,0.222,0.091,-34.09,0.0956,0.562,9481.24,-5.19
BTCUSDT,1d,1825,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1w,259,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1m,43201,53,71,36,0.306,0.482,-11.34,0.0973,0.84,9688.68,-3.11
ETHUSDT,5m,25920,46,43,58,0.345,0.628,-2.32,0.0981,0.966,9964.86,-0.35
ETHUSDT,15m,35040,93,75,111,0.36,0.789,6.6,0.0956,1.098,10840.78,8.41
ETHUSDT,30m,17520,39,32,17,0.176,-0.105,-45.39,0.0973,0.44,9321.58,-6.78
ETHUSDT,1h,17520,24,20,37,0.297,0.419,-14.69,0.0543,0.786,9456.61,-5.43
ETHUSDT,4h,4380,15,11,19,0.263,0.565,-9.85,0.0679,0.864,9741.79,-2.58
ETHUSDT,1d,1825,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1w,259,0,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
