Symbol,TF,Config,Rules,Quant,ML,TestBars,trades,win_rate,avg_rr,expectancy,max_dd,pf,final,ret_pct
BTCUSDT,1m,Rules only,True,False,False,21601,44,0.295,0.588,-6.83,0.088,0.904,9699.64,-3.0
BTCUSDT,1m,Quant only,False,True,False,21601,25,0.36,1.072,20.74,0.049,1.316,10518.58,5.19
BTCUSDT,1m,ML only,False,False,True,21601,9,0.222,0.22,-28.45,0.0297,0.632,9743.97,-2.56
BTCUSDT,1m,Rules + Quant,True,True,False,21601,41,0.268,0.483,-13.15,0.088,0.819,9460.84,-5.39
BTCUSDT,1m,Rules + ML,True,False,True,21601,22,0.273,0.508,-11.9,0.0622,0.838,9738.14,-2.62
BTCUSDT,1m,Quant + ML,False,True,True,21601,12,0.25,0.511,-13.05,0.045,0.828,9843.39,-1.57
BTCUSDT,1m,Rules + Quant + ML,True,True,True,21601,23,0.217,0.251,-26.75,0.0803,0.653,9384.82,-6.15
BTCUSDT,5m,Rules only,True,False,False,12960,39,0.436,1.213,33.18,0.0331,1.559,11293.84,12.94
BTCUSDT,5m,Quant only,False,True,False,12960,31,0.452,1.303,38.59,0.0633,1.672,11196.44,11.96
BTCUSDT,5m,ML only,False,False,True,12960,15,0.533,2.124,85.96,0.0394,2.657,11289.34,12.89
BTCUSDT,5m,Rules + Quant,True,True,False,12960,38,0.447,1.271,37.05,0.0331,1.639,11407.92,14.08
BTCUSDT,5m,Rules + ML,True,False,True,12960,23,0.522,1.771,67.8,0.0394,2.299,11559.32,15.59
BTCUSDT,5m,Quant + ML,False,True,True,12960,18,0.5,1.832,68.73,0.0342,2.257,11237.2,12.37
BTCUSDT,5m,Rules + Quant + ML,True,True,True,12960,26,0.5,1.729,64.68,0.0438,2.159,11681.71,16.82
BTCUSDT,15m,Rules only,True,False,False,17520,58,0.431,1.148,30.98,0.0619,1.489,11820.31,18.2
BTCUSDT,15m,Quant only,False,True,False,17520,39,0.436,1.244,36.1,0.0679,1.598,11430.5,14.31
BTCUSDT,15m,ML only,False,False,True,17520,18,0.389,0.985,17.78,0.0394,1.285,10319.97,3.2
BTCUSDT,15m,Rules + Quant,True,True,False,17520,55,0.455,1.266,39.24,0.0619,1.634,12182.14,21.82
BTCUSDT,15m,Rules + ML,True,False,True,17520,38,0.447,1.213,33.81,0.0429,1.571,11284.82,12.85
BTCUSDT,15m,Quant + ML,False,True,True,17520,24,0.375,0.772,8.17,0.0297,1.138,10216.35,2.16
BTCUSDT,15m,Rules + Quant + ML,True,True,True,17520,44,0.432,1.205,33.81,0.0524,1.554,11510.57,15.11
BTCUSDT,30m,Rules only,True,False,False,8760,23,0.522,2.086,85.3,0.0369,2.494,11961.88,19.62
BTCUSDT,30m,Quant only,False,True,False,8760,20,0.5,1.54,53.31,0.049,1.944,11066.21,10.66
BTCUSDT,30m,Rules + Quant,True,True,False,8760,23,0.522,2.086,85.3,0.0369,2.494,11961.88,19.62
BTCUSDT,1h,Rules only,True,False,False,8760,21,0.476,1.153,31.44,0.0309,1.59,10660.25,6.6
BTCUSDT,1h,Quant only,False,True,False,8760,18,0.556,1.599,59.54,0.0199,2.3,11071.71,10.72
BTCUSDT,1h,Rules + Quant,True,True,False,8760,21,0.476,1.153,31.44,0.0309,1.59,10660.25,6.6
BTCUSDT,4h,Rules only,True,False,False,2190,7,0.143,-0.137,-49.7,0.049,0.408,9652.12,-3.48
BTCUSDT,4h,Quant only,False,True,False,2190,5,0.2,0.208,-30.38,0.0297,0.617,9848.1,-1.52
BTCUSDT,4h,Rules + Quant,True,True,False,2190,7,0.143,-0.137,-49.7,0.049,0.408,9652.12,-3.48
BTCUSDT,1d,Rules only,True,False,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1d,Quant only,False,True,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1d,Rules + Quant,True,True,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1w,Rules only,True,False,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1w,Quant only,False,True,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
BTCUSDT,1w,Rules + Quant,True,True,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1m,Rules only,True,False,False,21601,48,0.396,1.154,27.81,0.0944,1.439,11335.06,13.35
ETHUSDT,1m,Quant only,False,True,False,21601,35,0.4,1.177,28.78,0.07,1.468,11007.45,10.07
ETHUSDT,1m,Rules + Quant,True,True,False,21601,46,0.37,1.06,21.02,0.0944,1.326,10966.89,9.67
ETHUSDT,5m,Rules only,True,False,False,12960,22,0.227,-0.081,-41.38,0.0981,0.451,9181.55,-8.18
ETHUSDT,5m,Quant only,False,True,False,12960,20,0.25,-0.144,-43.3,0.0937,0.408,9226.28,-7.74
ETHUSDT,5m,Rules + Quant,True,True,False,12960,22,0.227,-0.081,-41.38,0.0981,0.451,9181.55,-8.18
ETHUSDT,15m,Rules only,True,False,False,17520,38,0.368,0.818,8.37,0.0932,1.123,10422.3,4.22
ETHUSDT,15m,Quant only,False,True,False,17520,28,0.357,0.706,2.18,0.0994,1.032,10162.76,1.63
ETHUSDT,15m,ML only,False,False,True,17520,13,0.385,0.869,14.03,0.0585,1.226,10117.93,1.18
ETHUSDT,15m,Rules + Quant,True,True,False,17520,31,0.387,0.941,15.61,0.0969,1.231,10589.78,5.9
ETHUSDT,15m,Rules + ML,True,False,True,17520,25,0.32,0.518,-8.95,0.0969,0.874,9875.09,-1.25
ETHUSDT,15m,Quant + ML,False,True,True,17520,24,0.25,0.197,-27.57,0.0993,0.63,9432.56,-5.67
ETHUSDT,15m,Rules + Quant + ML,True,True,True,17520,29,0.379,0.931,14.64,0.0969,1.213,10529.77,5.3
ETHUSDT,30m,Rules only,True,False,False,8760,20,0.25,0.439,-16.46,0.0933,0.787,9768.54,-2.31
ETHUSDT,30m,Quant only,False,True,False,8760,13,0.077,-0.638,-74.75,0.0972,0.155,9028.29,-9.72
ETHUSDT,30m,Rules + Quant,True,True,False,8760,16,0.188,0.201,-30.96,0.0972,0.623,9600.7,-3.99
ETHUSDT,1h,Rules only,True,False,False,8760,17,0.235,0.222,-27.39,0.0485,0.636,9534.39,-4.66
ETHUSDT,1h,Quant only,False,True,False,8760,12,0.083,-0.432,-65.54,0.0786,0.262,9213.52,-7.86
ETHUSDT,1h,Rules + Quant,True,True,False,8760,17,0.235,0.222,-27.39,0.0485,0.636,9534.39,-4.66
ETHUSDT,4h,Rules only,True,False,False,2190,11,0.364,1.144,23.98,0.0585,1.364,10189.36,1.89
ETHUSDT,4h,Quant only,False,True,False,2190,7,0.143,0.498,-19.82,0.0585,0.774,9861.26,-1.39
ETHUSDT,4h,Rules + Quant,True,True,False,2190,11,0.364,1.144,23.98,0.0585,1.364,10189.36,1.89
ETHUSDT,1d,Rules only,True,False,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1d,Quant only,False,True,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1d,Rules + Quant,True,True,False,913,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1w,Rules only,True,False,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1w,Quant only,False,True,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
ETHUSDT,1w,Rules + Quant,True,True,False,130,0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0
