direction,t1_bias,t1_strength,t1_pd_zone,t2_in_4h_ob,t2_in_1h_ob,t2_in_fvg,t2_in_brk,t2_in_rej,t2_in_mit,t2_in_vi,zone_quality,t2_confluence,t2m30_in_ob,t2m30_in_fvg,t2m30_in_brk,t2m30_in_rej,t2m30_choch,t2m30_zone_qual,t4_in_5m_ob,ob_height_atr,entry_depth_ob,session,t3_in_ote,t3_choch,swept,conf_score,sl_atr_ratio,rr_potential,atr_pct_of_price,tp2_distance_r,rvol,vol_pct,mom_12b,mom_48b,mom_96b,body_ratio,atr_rank,bb_score,tsm_score,day_of_week,label,sym,ts,entry,sl,tp1,ml_proba
1,0,0.0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,,0,0.05117927318287898,0.0,0,1,1,1,0.6770324353587202,2.0000000000000067,3.999999999999991,0.006643865070584083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-13 08:00:00+00:00,29.40999984741211,29.0192077059879,30.973168413108947,0.27862405492403974
1,0,0.0,0,0,0,0,0,1,0,0,0.9000000000000001,0.75,0,0,0,0,0,,0,0.3406190658343398,1.0,0,0,1,1,0.6294000615510688,2.0000000000000067,3.99999999999998,0.004848450015627993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,COPPER,2024-06-13 08:00:00+00:00,4.541500091552734,4.4974616191730075,4.717653981071641,0.31661580104142134
1,0,0.0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,,0,0.05243274910223211,0.0,0,1,1,1,0.6770324353587202,1.999999999999997,4.000000000000009,0.006490551688728432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-13 09:00:00+00:00,29.385000228881836,29.003550503164128,30.910799131752672,0.3102122654624927
1,0,0.0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,,0,0.05365294845699648,0.0,-1,1,1,1,0.6770324353587202,2.0000000000000075,3.999999999999981,0.0063559184266061995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-13 10:00:00+00:00,29.325000762939453,28.952226137520636,30.816099264614714,0.2014607729708953
0,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.9524616732941732,1.0,1,0,1,1,0.6829914344887515,2.0000000000000004,4.0,0.010954943029426538,45.641497053606635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,NATGAS,2024-06-13 12:00:00+00:00,2.9709999561309814,3.0360942266506687,2.7106228740522322,0.20388329213665027
1,0,0.0,0,0,1,0,0,0,1,0,0.75,0.75,0,0,0,0,0,,1,0.04628416459272835,0.0,1,1,1,1,0.6554570164805167,1.5000000000000044,4.0,0.007377891848438157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-13 13:00:00+00:00,29.28499984741211,28.960907504928507,30.58136921734652,0.16147367370586962
1,0,0.0,0,0,1,0,0,0,1,0,0.9000000000000001,0.75,0,0,0,0,0,,0,0.31956938380211725,1.0,1,1,1,1,0.643874071455639,0.2352103754635595,4.0,0.005181503233523762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,COPPER,2024-06-13 13:00:00+00:00,4.5295000076293945,4.523979709747524,4.551581199156878,0.30876114041776775
1,0,0.0,0,0,1,0,0,0,1,0,0.75,0.75,0,0,0,0,0,,1,0.045695942593124844,0.0,1,1,1,1,0.6554570164805167,1.499999999999995,4.0,0.007492051543795281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-13 14:00:00+00:00,29.209999084472656,28.881734856370034,30.523055996883144,0.16147367370586962
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.05903436142093975,0.0,0,1,1,1,0.6531731756064195,2.000000000000003,3.9999999999999893,0.005808220240253811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2024-06-14 07:00:00+00:00,29.165000915527344,28.82620741827817,30.520174904524037,0.4639440505389545
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.060160599521625446,0.0,0,1,1,1,0.6531731756064195,1.999999999999998,4.0,0.005699487299030439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2024-06-14 08:00:00+00:00,29.165000915527344,28.832549810938826,30.494805333881416,0.48163834852735155
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.061379796414835416,0.0,0,1,1,1,0.6531731756064195,2.000000000000009,3.9999999999999782,0.005587235525657435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2024-06-14 09:00:00+00:00,29.15999984741211,28.834152273260855,30.46339014401712,0.3794218561318581
1,0,0.0,0,0,0,0,0,1,0,1,0.75,0.75,0,0,0,0,0,,0,0.05857905877178658,0.0,1,0,1,1,0.6193680692738203,1.9999999999999953,4.000000000000011,0.005844347185292955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2024-06-14 14:00:00+00:00,29.209999084472656,28.868572332609162,30.575706091926637,0.34327744663749793
1,0,0.0,0,0,0,0,0,1,0,1,0.75,0.75,0,0,0,0,0,,0,0.059977202695167216,0.0,-1,0,1,1,0.6294000615510688,2.0000000000000018,4.0,0.005703226586276863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SILVER,2024-06-14 15:00:00+00:00,29.235000610351562,28.901532944890008,30.568871272197782,0.44836644836381917
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.13353839763539924,1.0,-1,0,1,1,0.6294000615510688,1.9999999999999984,4.0,0.006355770327960643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,SILVER,2024-06-18 15:00:00+00:00,29.454999923706055,29.080581494655707,30.952673639907445,0.3346110105748447
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,1.5705638959659822,1.0,1,0,1,1,0.6193680692738203,1.9999999999999962,4.0,0.005573593469831387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,COPPER,2024-06-20 14:00:00+00:00,4.569499969482422,4.518562899101818,4.773248251004837,0.34426810056070684
1,0,0.0,0,0,1,0,0,0,1,0,0.9000000000000001,0.75,0,0,0,0,0,,0,2.270338352618536,1.0,2,0,0,1,0.5639935616185703,0.9730064488088488,4.0,0.003976639733595132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,COPPER,2024-06-24 19:00:00+00:00,4.430500030517578,4.413357114004621,4.4990716965694055,0.3709888324866585
1,0,0.0,0,0,0,0,0,1,0,0,0.75,0.75,0,0,0,0,0,,0,0.38589802073828305,1.0,1,0,1,1,0.9082573419766657,1.999999999999982,4.00000000000004,0.002436682026234386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,GOLD,2024-06-25 14:00:00+00:00,2339.60009765625,2328.1983746431797,2385.2069897085316,0.09359601137306815
1,0,0.0,0,0,1,0,0,1,1,0,0.75,0.75,0,0,0,0,0,,1,0.3551948143280371,1.0,-1,1,1,1,0.9743475801873289,1.5000000000000093,4.0,0.002650255305965603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,GOLD,2024-06-25 15:00:00+00:00,2337.0,2327.7095300249375,2374.16187990025,0.1270445898510754
1,0,0.0,0,1,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,,0,0.3646763421341805,0.04538896903784264,2,0,1,1,0.8440179761525454,0.3801381337716733,4.0,0.0025875495665410486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,GOLD,2024-06-25 18:00:00+00:00,2331.39990234375,2329.1066761696275,2340.57280704024,0.10993938535362978
